MovieId,Actor
48,David Ogden Stiers
48,Linda Hunt
48,Mel Gibson
48,Russell Means
48,Christian Bale
48,Irene Bedard
49,Rachael Crawford
49,Pascale Bussières
50,Benicio del Toro
50,Kevin Spacey
50,Suzy Amis Cameron
50,Kevin Pollak
50,Pete Postlethwaite
50,Stephen Baldwin
50,Chazz Palminteri
52,Jack Warden
52,F. Murray Abraham
52,Michael Rapaport
52,Woody Allen
52,David Ogden Stiers
52,Claire Bloom
52,Peter Weller
52,Mira Sorvino
52,Helena Bonham Carter
52,Olympia Dukakis
53,Michele Placido
54,Olivia d'Abo
54,Jay O. Sanders
54,Steve Guttenberg
55,Ted Levine
55,John C. Reilly
55,Mare Winningham
55,Jennifer Jason Leigh
55,Max Perlich
55,Tom Bower
55,John Doe
55,Jennifer Jason Leigh
55,Ted Levine
55,Mare Winningham
55,John C. Reilly
55,Tom Bower
55,John Doe
55,Max Perlich
60,Richard Jenkins
60,Lindsay Crouse
60,Rishi Bhat
60,Litefoot
60,David Keith
60,Steve Coogan
60,Hal Scardino
61,Joe Mantegna
61,Ed Harris
61,Kiefer Sutherland
61,Sally Field
62,Jay Thomas
62,Richard Dreyfuss
62,Glenne Headly
62,Olympia Dukakis
63,Marlon Wayans
64,Sandra Bullock
64,Yaphet Kotto
64,Denis Leary
64,Stephen Dillane
65,Kylie Minogue
65,Stephen Baldwin
65,Joey Lauren Adams
65,William Atherton
65,Pauly Shore
66,Austin O'Brien
66,Kevin Conway
66,Matt Frewer
67,Al Pacino
67,Mary Elizabeth Mastrantonio
68,Victoria Abril
68,Alain Chabat
68,Josiane Balasko
69,Regina King
69,Bernie Mac
69,John Witherspoon
69,Chris Tucker
69,Nia Long
69,Tom Lister Jr.
69,Ice Cube
70,George Clooney
70,Harvey Keitel
70,Quentin Tarantino
70,Salma Hayek
72,Olivia d'Abo
72,Eric Stoltz
72,Carlos Jacott
72,Cara Buono
72,Chris Eigeman
72,Elliott Gould
72,Jason Wiles
72,Josh Hamilton
72,Parker Posey
74,Christian Slater
74,Mary Stuart Masterson
74,Josh Brolin
74,Christian Slater
74,Josh Brolin
74,Mary Stuart Masterson
74,Josh Brolin
74,Mary Stuart Masterson
74,Christian Slater
75,Rick Moranis
75,Carol Kane
75,Tom Arnold
75,Don Knotts
75,Julianne Phillips
75,Jeffrey Tambor
76,Peter Weller
76,Jennifer Rubin
76,Roy Dupuis
79,Alec Baldwin
79,James Gandolfini
79,Demi Moore
79,Lindsay Crouse
81,Gabrielle Anwar
81,Steve Buscemi
81,Christopher Walken
81,Andy García
81,Christopher Lloyd
81,Treat Williams
81,Bill Nunn
81,William Forsythe
81,Jack Warden
82,Willeke van Ammelrooy
82,Jan Decleir
82,Els Dottermans
84,Brooke Smith
84,Jon Robin Baitz
84,Holland Taylor
84,Roscoe Lee Browne
84,Kristoffer Tabori
84,Viveca Lindfors
84,Andre Gregory
84,Melissa Leo
84,Ron Rifkin
86,Caroline Goodall
86,John Savage
86,Balthazar Getty
86,Scott Wolf
87,Paul Reubens
87,Eric Lloyd
87,Jason Alexander
87,Faye Dunaway
88,Christine Ebersole
88,David Spade
88,Chris Farley
88,Tim Matheson
88,Gary Busey
89,Peter Strauss
89,Charles S. Dutton
89,Marsha Mason
89,Gloria Reuben
89,Johnny Depp
89,Christopher Walken
90,Sam Waterston
90,Thandie Newton
92,John Malkovich
92,Michael Gambon
92,George Cole
92,Julia Roberts
93,Kadeem Hardison
93,Angela Bassett
93,Allen Payne
93,Eddie Murphy
94,Mira Sorvino
94,Matt Dillon
94,Pruitt Taylor Vince
94,Lauren Holly
94,Uma Thurman
94,Natalie Portman
94,Michael Rapaport
94,Max Perlich
94,Annabeth Gish
95,Frank Whaley
95,Delroy Lindo
95,John Travolta
95,Bob Gunton
95,Howie Long
95,Christian Slater
96,Mark Hadfield
96,Joan Collins
96,Julia Sawalha
96,Gerard Horan
96,Nicholas Farrell
96,Richard Briers
101,Andrew Wilson
101,James Caan
101,Owen Wilson
102,The Lady Olivier
102,Joan Cusack
102,Ellen DeGeneres
104,Christopher McDonald
104,Julie Bowen
104,Carl Weathers
104,Adam Sandler
105,Clint Eastwood
105,Meryl Streep
107,Jerry Nelson
107,Rizzo the Rat
107,Kermit the Frog
107,Tim Curry
107,Frank Oz
107,Gonzo the Great
107,Dave Goelz
107,Kevin Clash
107,Steve Whitmire
107,Miss Piggy
110,Lillian Rich
110,Rod La Rocque
111,Kalpana Kartik
111,Dev Anand
111,Johnny Walker
113,Liam Neeson
113,Meryl Streep
113,Alfred Molina
113,Edward Furlong
115,Carmen Maura
115,Eddy Mitchell
115,Catherine Jacob
115,François Morel
115,Michel Serrault
116,Glenn Close
117,Hugh O'Conor
117,Charlotte Coleman
117,Roger Lloyd-Pack
118,James Rebhorn
118,Elle Macpherson
118,Ben Stiller
118,Eric Schaeffer
118,Sarah Jessica Parker
119,Ally Walker
119,Rachel Ticotin
119,Richard Bradford
119,Kevin McCarthy
119,Andy García
119,David Ogden Stiers
119,Alan Arkin
122,Eartha Kitt
122,Martin Lawrence
122,Chris Rock
122,David Alan Grier
122,Grace Jones
122,Eddie Murphy
122,Robin Givens
122,Geoffrey Holder
125,Ben Stiller
125,Téa Leoni
125,George Segal
125,Mary Tyler Moore
125,Richard Jenkins
131,Anne Parillaud
131,Matt Dillon
132,Linda Fiorentino
132,David Caruso
132,Chazz Palminteri
132,Michael Biehn
132,Richard Crenna
135,Bruce Dern
135,Rob Schneider
135,Kelsey Grammer
135,Lauren Holly
137,Dirk Shafer
138,Diana Scarwid
138,Jacob Tierney
138,Denis Leary
138,Gena Rowlands
138,Denis Leary
138,Gena Rowlands
138,Jacob Tierney
138,Diana Scarwid
141,Gene Hackman
141,Nathan Lane
141,Dianne Wiest
141,Robin Williams
143,Morgan Fairchild
144,Edward Burns
144,Connie Britton
144,Mike McGlone
144,Maxine Bahns
144,Jack Mulcahy
146,Stephen Lang
147,Bruno Kirby
147,Mark Wahlberg
147,Leonardo DiCaprio
147,Ernie Hudson
147,Lorraine Bracco
147,Patrick McGaw
147,Michael Imperioli
147,James Madio
148,Georgina Cates
148,Alan Rickman
148,Hugh Grant
150,Gary Sinise
150,Tom Hanks
150,Kevin Bacon
150,Ed Harris
153,Nicole Kidman
153,Jim Carrey
153,Tom Jones
153,Val Kilmer
153,Michael Gough
153,Tommy Lee Jones
153,Pat Hingle
154,Jean Sorel
154,Pierre Clémenti
154,Catherine Deneuve
154,Michel Piccoli
155,Spalding Gray
155,Frances McDormand
156,Roseanne Barr
156,Mira Sorvino
156,Michael J. Fox
156,Jim Jarmusch
156,Victor Argo
156,Malik Yoba
156,Harvey Keitel
156,Jim Jarmusch
156,Roseanne Barr
156,Michael J. Fox
156,Mira Sorvino
156,Malik Yoba
156,Harvey Keitel
156,Victor Argo
157,Kevin Pollak
157,Bill Nunn
157,Kevin J. O'Connor
157,Rhea Perlman
157,John Candy
158,Christina Ricci
158,Cathy Moriarty
158,Eric Idle
159,Keith David
159,Isaiah Washington
159,Delroy Lindo
159,John Turturro
159,Harvey Keitel
161,Gene Hackman
161,Denzel Washington
161,James Gandolfini
162,Jack Harrington
162,Charles Crumb
163,Joaquim de Almeida
163,Antonio Banderas
163,Quentin Tarantino
163,Steve Buscemi
163,Salma Hayek
164,Don Cheadle
164,Maury Chaykin
164,Denzel Washington
164,Tom Sizemore
164,Jennifer Beals
165,Sam Phillips
165,Colleen Camp
165,Larry Bryggman
165,Graham Greene
165,Bruce Willis
165,Jeremy Irons
166,Rose McGowan
166,James Duval
166,Johnathon Schaech
167,James Purefoy
167,Gemma Jones
167,Tom Bell
167,Greg Wise
167,Embeth Davidtz
167,Tom Bell biography
167,Ben Chaplin
168,Sean Connery
168,Julia Ormond
168,Ben Cross
168,Richard Gere
170,Angelina Jolie
170,Lorraine Bracco
170,Jonny Lee Miller
172,Keanu Reeves
172,Takeshi Kitano
172,Dolph Lundgren
172,Ice-T
173,Rob Schneider
173,Joan Chen
173,Jürgen Prochnow
173,Diane Lane
173,Sylvester Stallone
173,Max von Sydow
173,Armand Assante
174,Pauly Shore
174,Abe Vigoda
174,Stanley Tucci
174,Charles Napier
174,Shelley Winters
174,Tia Carrere
174,Brian Doyle-Murray
175,Leo Fitzpatrick
175,Chloë Sevigny
175,Justin Pierce
176,Catherine Keener
176,Danielle von Zerneck
176,Dermot Mulroney
176,Steve Buscemi
176,James LeGros
177,Scott Bakula
177,Kevin J. O'Connor
177,Famke Janssen
178,Mia Kirshner
178,Thomas Gibson
178,Joanne Vannicola
178,Matthew Ferguson
178,Cameron Bancroft
178,Joanne Vannicola
178,Thomas Gibson
178,Mia Kirshner
178,Matthew Ferguson
178,Cameron Bancroft
178,Joanne Vannicola
178,Thomas Gibson
178,Mia Kirshner
178,Matthew Ferguson
178,Cameron Bancroft
178,Matthew Ferguson
178,Mia Kirshner
178,Thomas Gibson
178,Joanne Vannicola
178,Cameron Bancroft
179,Joan Allen
179,Joan Allen
180,Michael Rooker
180,Jeremy London
180,Jason Lee
181,Jason Narvy
181,Paul Schrier
181,Jason David Frank
181,David Yost
181,Karan Ashley
181,Paul Freeman
181,Toso Kune Do
181,Johnny Yong Bosch
181,Amy Jo Johnson
182,Gwyneth Paltrow
182,Jon Bon Jovi
182,Kathleen Turner
182,Whoopi Goldberg
183,Oleg Yankovsky
183,Marina Zudina
183,Alec Guinness
183,Fay Ripley
184,Galaxy Craze
184,Elina Löwensohn
184,Karl Geary
184,Martin Donovan
184,Peter Fonda
186,Robin Williams
186,Joan Cusack
186,Tom Arnold
186,Jeff Goldblum
186,Julianne Moore
186,Hugh Grant
188,Robert Foxworth
188,Armand Assante
188,Talia Shire
189,Scott Glenn
189,Mary-Louise Parker
190,Peter Friedman
190,Xander Berkeley
190,James LeGros
190,Julianne Moore
191,Gary Oldman
191,Robert Prosky
191,Demi Moore
191,Edward Hardwicke
191,The Lady Olivier
193,Gina Ravera
193,Robert Davi
193,Gina Gershon
193,Elizabeth Berkley
193,Kyle MacLachlan
194,Harold Perrineau
194,Stockard Channing
194,Forest Whitaker
194,Harvey Keitel
195,Kyra Sedgwick
195,Gena Rowlands
195,Julia Roberts
196,Ben Kingsley
196,Forest Whitaker
196,Alfred Molina
196,Natasha Tonya Henstridge
196,Michael Madsen
197,Aidan Quinn
197,Frances Fisher
197,Brian Dennehy
198,Michael Wincott
198,Vincent D'Onofrio
198,Ralph Fiennes
198,Tom Sizemore
198,Angela Bassett
199,Nino Castelnuovo
199,Marc Michel
199,Catherine Deneuve
199,Anne Vernon
200,Moira Kelly
200,Vincent Spano
200,Keith Carradine
200,Daryl Hannah
201,Michael O'Keefe
201,Patrick Swayze
201,Diane Venora
201,Mary Elizabeth Mastrantonio
201,David Marshall Grant
202,Leonardo DiCaprio
202,Romane Bohringer
202,Dominique Blanc
202,David Thewlis
203,Patrick Swayze
203,John Leguizamo
203,Wesley Snipes
203,Chris Penn
203,Stockard Channing
203,Arliss Howard
204,Everett McGill
204,Eric Bogosian
204,Katherine Heigl
204,Morris Chestnut
204,Steven Seagal
205,Andie MacDowell
205,Maury Chaykin
205,Michael Richards
205,John Turturro
207,Giancarlo Giannini
207,Anthony Quinn
207,Aitana Sánchez-Gijón
207,Keanu Reeves
208,Kevin Costner
208,Michael Jeter
208,Dennis Hopper
208,Tina Majorino
208,Jeanne Tripplehorn
209,Harry Belafonte
209,Margaret Avery
209,Kelly Lynch
209,Tom Bower
209,John Travolta
211,Greta Scacchi
211,Matthew Modine
211,Greta Scacchi
211,Matthew Modine
212,Daniel Stern
212,Ann Dowd
212,Jon Polito
213,Ingeborga Dapkūnaitė
213,Nikita Mikhalkov
213,Nadezhda Mikhalkova
215,Ethan Hawke
216,Bridgette Wilson
216,Norm Macdonald
216,Josh Mostel
216,Bradley Whitford
216,Darren McGavin
216,Adam Sandler
218,Whoopi Goldberg
218,Mary-Louise Parker
219,Tsuyoshi Ujiki
219,Anna Nakagawa
219,Masato Hagiwara
220,Barbara Crampton
220,Jeffrey Combs
222,Colin Firth
222,Saffron Burrows biography and filmography
222,Minnie Driver
222,Geraldine O'Rawe
222,Minnie Driver
222,Saffron Burrows biography and filmography
222,Geraldine O'Rawe
222,Colin Firth
222,Saffron Burrows biography and filmography
222,Minnie Driver
222,Geraldine O'Rawe
222,Colin Firth
223,Jennifer Schwalbach Smith
223,Rosario Dawson
223,Jeff Anderson
223,Trevor Fehrman
224,Géraldine Pailhas
224,Johnny Depp
224,Rachel Ticotin
224,Marlon Brando
224,Faye Dunaway
227,Michael Jeter
227,Yancy Butler
227,Gary Busey
227,Wesley Snipes
230,Kathy Bates
230,Jennifer Jason Leigh
230,Judy Parfitt
230,Christopher Plummer
230,Eric Bogosian
230,John C. Reilly
231,Karen Duffy
231,Jeff Daniels
231,Lauren Holly
231,Charles Rocket
231,Teri Garr
231,Jim Carrey
233,Arsinée Khanjian
233,Mia Kirshner
233,Don McKellar
233,Bruce Greenwood
234,Dan Aykroyd
234,Stuart Wilson
234,Iman
234,Dana Delany
235,Sarah Jessica Parker
235,Martin Landau
235,Bill Murray
235,Johnny Depp
236,Susan Anbeh
236,Jean Reno
236,Meg Ryan
236,Kevin Kline
236,Suzan Anbeh
236,François Cluzet
237,Richard Masur
237,Cathy Moriarty
237,Julie Kavner
237,Billy Crystal
237,Debra Winger
237,Joe Mantegna
238,Mimi Rogers
238,Tom Bower
238,Jesse Bradford
238,Bruce Davison
239,Frank Welker
239,Brittany Smith
239,Jo Anne Worley
239,Wayne Allwine
239,Jenna von Oÿ
239,Rob Paulsen
239,Julie Brown
239,Bill Farmer
239,Kevin Lima
239,Jason Marsden
239,Herschel Sparber
239,Joey Lawrence
239,Matisse
239,Kellie Martin
239,Jim Cummings
239,Wallace Shawn
242,Elsa Zylberstein
244,Art Clokey
244,Dallas McKennon
245,Richard Anderson
245,Bernie Casey
245,Michael Ironside
245,Lori Petty
245,Elliott Gould
245,Ice Cube
246,Arthur Agee
246,William Gates
247,Kate Winslet
247,Clive Merrison
247,Melanie Lynskey
248,Kim Greist
248,Sinbad
251,Kay Walsh
251,Jon Whiteley
251,Dirk Bogarde
251,Elizabeth Sellars
252,Walter Matthau
252,Charles Durning
252,Meg Ryan
254,Lambert Wilson
254,Michael Lonsdale
254,Nick Nolte
254,Charlotte de Turckheim
254,Simon Callow
254,James Earl Jones
254,Greta Scacchi
254,Seth Gilliam
254,Gwyneth Paltrow
254,Nancy Marchand
254,Jean-Pierre Aumont
254,Thandie Newton
256,Arnold Schwarzenegger
256,Danny DeVito
256,Frank Langella
256,Emma Thompson
256,Pamela Reed
256,Frank Langella
256,Danny DeVito
256,Arnold Schwarzenegger
256,Emma Thompson
256,Pamela Reed
257,Ed Harris
257,Blair Underwood
257,Sean Connery
258,Art Malik
258,Joss Ackland
259,Ving Rhames
259,Michael Rapaport
259,Stanley Tucci
259,Kathryn Erbe
259,Nicolas Cage
259,Helen Hunt
259,David Caruso
260,Carrie Fisher
260,Peter Cushing
260,Alec Guinness
260,Mark Hamill
260,Harrison Ford
261,Trini Alvarado
261,Winona Ryder
261,Christian Bale
261,Eric Stoltz
261,Kirsten Dunst
261,Susan Sarandon
261,Mary Wickes
261,Claire Danes
263,Crissy Rock
265,Ada Carrasco
265,Mario Iván Martínez
265,Regina Torné
265,Yareli Arizmendi
265,Marco Leonardi
267,Damon Wayans
267,Karyn Parsons
267,Michael Ironside
270,Katharine Hepburn
270,Pierce Brosnan
270,Garry Shandling
270,Warren Beatty
270,Annette Bening
271,Jessica Lange
271,Cuba Gooding Jr.
272,Rupert Graves
272,Amanda Donohoe
272,Nigel Hawthorne
272,Helen Mirren
272,Ian Holm
273,Aidan Quinn
273,Kenneth Branagh
273,Helena Bonham Carter
273,John Cleese
273,Robert De Niro
273,Tom Hulce
273,Ian Holm
274,George Wendt
274,Chevy Chase
274,Farrah Fawcett
275,Stan Laurel
276,Ed Harris
276,Melanie Griffith
277,The Lord Attenborough
277,James Remar
277,Mara Wilson
277,Dylan McDermott
277,Robert Prosky
277,Lord Attenborough
278,Sarah Jessica Parker
278,Carla Gugino
278,Paul Mazursky
278,Kevin Pollak
278,Antonio Banderas
278,Gil Bellows
281,Bruce Willis
281,Melanie Griffith
281,Jessica Tandy
281,Paul Newman
282,Liam Neeson
282,Natasha Richardson
282,Jodie Foster
282,Richard Libertini
283,Gabriel Casseus
286,Chad Stahelski
286,Sue Price
286,Chad Stahelski
286,Sue Price
286,Chad Stahelski
286,Sue Price
286,Sue Price
286,Chad Stahelski
288,Tom Sizemore
288,Tommy Lee Jones
288,Robert Downey Jr.
288,Woody Harrelson
288,Tom Jones
289,Joaquim de Almeida
289,Bonnie Hunt
289,Robert Downey Jr.
291,Alyssa Milano
291,Xander Berkeley
291,Belinda Bauer
291,Johnathon Schaech
292,Rene Russo
292,Donald Sutherland
292,Morgan Freeman
292,Kevin Spacey
292,Cuba Gooding Jr.
292,Dustin Hoffman
294,Celia Cruz
294,Trini Alvarado
294,Alfred Molina
294,Chazz Palminteri
295,Sadie Frost
295,John Leguizamo
295,William Baldwin
295,The Lady Olivier
295,Armin Mueller-Stahl
295,Erika Eleniak
295,Michael Lerner
296,Bruce Willis
296,Maria de Medeiros
296,Christopher Walken
296,Eric Stoltz
296,Uma Thurman
296,John Travolta
296,Harvey Keitel
296,Tim Roth
296,Ving Rhames
297,Capucine
297,David Niven
297,Peter Sellers
297,David Niven
297,Peter Sellers
297,Capucine
297,David Niven
297,Peter Sellers
297,Capucine
297,Peter Sellers
297,David Niven
297,Capucine
298,Sihung Lung
299,Linus Roache
299,Robert Carlyle biography and credits
299,Cathy Tyson
299,Robert Carlyle biography and credits
299,Cathy Tyson
299,Robert Carlyle
299,Robert Carlyle
299,Linus Roache
300,David Paymer
300,Rob Morrow
300,Ralph Fiennes
300,John Turturro
300,Paul Scofield
301,Toshirô Mifune
301,Cary-Hiroyuki Tagawa
301,Youki Kudoh
301,Akira Takayama
301,Tamlyn Tomita
301,Toshiro Mifune
304,D. B. Sweeney
304,Ellen Burstyn
304,Jan Rubeš
304,Julianne Moore
304,Peter Falk
309,Ning Jing
309,Wu Gang
309,Ning Jing
309,Wu Gang
310,Leslie Nielsen
310,Christopher Lloyd
310,Matt McCoy
311,Bruce Dinsmore
311,James Brolin
311,Darlanne Fluegel
313,Jack Palance
313,Michelle Nicastro
313,Steven Wright
313,John Cleese
313,Sandy Duncan
313,Howard McGillin
314,Mick Lally
314,John Lynch
314,Eileen Colgan
315,Sharon Stone
315,Eric Roberts
315,James Woods
315,Sylvester Stallone
316,Jaye Davidson
316,Viveca Lindfors
316,James Spader
316,Kurt Russell
319,Christopher Eccleston
319,Ewan McGregor
319,Christopher Eccleston
319,Ewan McGregor
320,Dina Merrill
320,David Graf
320,Dennis Haysbert
320,Mel Harris
320,Sab Shimono
320,Dennis Haysbert
320,David Graf
320,Dina Merrill
320,Mel Harris
320,Sab Shimono
322,Michelle Forbes
322,Jerry Levine
322,Roy Dotrice
322,Kevin Spacey
322,Frank Whaley
322,Benicio del Toro
324,Russell Crowe
324,John Polson
324,Deborah Kennedy
324,Jack Thompson
325,Matt Frewer
325,Valerie Mahaffey
325,Tommy Chong
326,Ge You
326,Guo Tao
326,Gong Li
326,Jiang Wu
327,Lori Petty
327,Naomi Watts
327,Malcolm McDowell
327,Ice-T
329,Brent Spiner
329,William Shatner
329,Gates McFadden
329,Marina Sirtis
329,Patrick Stewart
329,Malcolm McDowell
329,Walter Koenig
329,James Doohan
329,Jonathan Frakes
329,LeVar Burton
330,Lamont Bentley
330,Joe Torry
330,Paula Jai Parker
330,Clarence Williams III
330,David Alan Grier
330,Wings Hauser
330,Rusty Cundieff
334,Brooke Smith
334,George Gaynes
334,Wallace Shawn
334,Lynn Cohen
334,Larry Pine
334,Julianne Moore
334,Andre Gregory
336,Allen Payne
336,Allen Payne
336,Allen Payne
336,Allen Payne
337,Leonardo DiCaprio
337,John C. Reilly
337,Johnny Depp
338,Kelly Lynch
338,Stephen Spinella
338,Denzel Washington
338,William Forsythe
338,Russell Crowe
340,Lexi Randall
340,Mare Winningham
340,Kevin Costner
340,Elijah Wood
341,Callum Keith Rennie
341,Sandra Oh
343,Rachael Leigh Cook
343,Schuyler Fisk
343,Bre Blair
343,Larisa Oleynik
343,Zelda Harris
344,Sean Young
344,Tone Loc
344,Jim Carrey
344,Tone Lōc
344,Dan Marino
345,Terence Stamp
345,Hugo Weaving
345,Bill Hunter
345,Guy Pearce
346,Ian Hart
346,Stephen Dorff
346,Ian Hart
346,Stephen Dorff
348,James Broadbent
348,Jack Warden
348,Chazz Palminteri
348,Mary-Louise Parker
348,John Cusack
348,Dianne Wiest
348,Harvey Fierstein
348,Jennifer Tilly
348,Robert Reiner
348,Joe Viterelli
349,James Earl Jones
349,Willem Dafoe
349,Harrison Ford
349,Anne Archer
350,Susan Sarandon
350,Anthony LaPaglia
350,Tom Jones
350,Anthony Edwards
350,Mary-Louise Parker
350,Tommy Lee Jones
350,Ossie Davis
351,Larry Miller
351,Joan Cusack
351,Whoopi Goldberg
351,Don Ameche
351,Wendy Crewson
351,Tina Majorino
351,Ray Liotta
352,Alfre Woodard
352,Spike Lee
352,Delroy Lindo
352,Zelda Harris
353,Michael Wincott
353,Brandon Lee
353,Ernie Hudson
354,Tom Jones
354,Tommy Lee Jones
356,Sally Field
356,Tom Hanks
356,Gary Sinise
356,Robin Wright
357,Hugh Grant
357,Rowan Atkinson
357,John Hannah
357,Andie MacDowell
357,Charlotte Coleman
357,Corin Redgrave
357,David Bower
357,Simon Callow
357,James Fleet
358,Jennifer Connelly
358,Ice Cube
358,Kristy Swanson
358,Omar Epps
358,Michael Rapaport
359,Jesse Borrego
359,Rita Moreno
359,Griffin Dunne
359,Jon Seda
359,Lisa Vidal
365,Ying Ruocheng
365,Keanu Reeves
365,Ying Ruocheng
365,Ying Ruocheng
365,Keanu Reeves
365,Chris Isaak
365,Chris Isaak
365,Keanu Reeves
365,Ying Ruocheng
365,Ying Ruocheng
365,Chris Isaak
365,Chris Isaak
365,Ying Ruocheng
365,Chris Isaak
365,Keanu Reeves
365,Keanu Reeves
365,Ying Ruocheng
365,Chris Isaak
365,Keanu Reeves
365,Ying Ruocheng
365,Chris Isaak
365,Keanu Reeves
365,Keanu Reeves
365,Ying Ruocheng
365,Chris Isaak
365,Keanu Reeves
365,Chris Isaak
366,Robert Englund
366,John Saxon
366,Miko Hughes
366,Heather Langenkamp
368,James Coburn
368,Alfred Molina
368,Mel Gibson
368,Graham Greene
368,James Garner
368,Jodie Foster
369,Andrew McCarthy
369,Jennifer Beals
369,Wallace Shawn
369,Campbell Scott
369,Peter Gallagher
369,Matthew Broderick
369,Jennifer Jason Leigh
372,Swoosie Kurtz
372,John Mahoney
372,Winona Ryder
372,Joe Don Baker
372,Ethan Hawke
372,Ben Stiller
373,Lara Flynn Boyle
373,Timothy Carhart
373,Dennis Hopper
373,Nicolas Cage
375,Susan Sarandon
376,Lee Remick
376,Jo Van Fleet
376,Montgomery Clift
377,Jeff Daniels
377,Sandra Bullock
377,Dennis Hopper
377,Keanu Reeves
379,Ron Silver
379,Jean-Claude Van Damme
379,Mia Sara
380,Arnold Schwarzenegger
380,Tia Carrere
380,Jamie Lee Curtis
380,Tom Arnold
380,Art Malik
381,Lauren Tom
381,Meg Ryan
381,Andy García
381,Ellen Burstyn
382,Kate Nelligan
382,Jack Nicholson
382,Christopher Plummer
382,James Spader
382,Michelle Pfeiffer
383,JoBeth Williams
383,Mark Harmon
